QMUXTXRX.
Cur Time : 87.091000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	STRING
12.830737	SHIMQMI 02 04 0b 2b 00 07 00 02 04 00 00 00 00 00
12.831077	SHIMQMI 00 04 0b 2a 00 04 00 01 01 00 04
12.831097	SHIMQMI 02 04 0b 2a 00 07 00 02 04 00 00 00 00 00
12.831329	SHIMQMI 00 04 0b 2f 00 08 00 10 01 00 01 11 01 00 db
12.831356	SHIMQMI 02 04 0b 2f 00 07 00 02 04 00 00 00 00 00
12.831792	SHIMQMI 00 04 0b 2d 00 07 00 01 04 00 ff 00 00 00
12.831813	SHIMQMI 02 04 0b 2d 00 07 00 02 04 00 00 00 00 00
12.832005	SHIMQMI 00 04 0b 01 00 04 00 10 01 00 01
12.832025	SHIMQMI 02 04 0b 01 00 07 00 02 04 00 00 00 00 00
12.832566	SHIMQMI 00 04 0c 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.832598	SHIMQMI 02 04 0c 2b 00 07 00 02 04 00 00 00 00 00
12.832805	SHIMQMI 00 04 0c 2a 00 04 00 01 01 00 06
12.832827	SHIMQMI 02 04 0c 2a 00 07 00 02 04 00 00 00 00 00
12.832976	SHIMQMI 00 04 0c 2f 00 08 00 10 01 00 01 11 01 00 db
12.833001	SHIMQMI 02 04 0c 2f 00 07 00 02 04 00 00 00 00 00
12.833159	SHIMQMI 00 04 0c 2d 00 07 00 01 04 00 ff 00 00 00
12.833179	SHIMQMI 02 04 0c 2d 00 07 00 02 04 00 00 00 00 00
12.833327	SHIMQMI 00 04 0c 01 00 04 00 10 01 00 01
12.833347	SHIMQMI 02 04 0c 01 00 07 00 02 04 00 00 00 00 00
12.833822	SHIMQMI 00 01 0e a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.834241	SHIMQMI 02 01 0e a2 00 07 00 02 04 00 00 00 00 00
12.835071	SHIMQMI 00 01 0f a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.835112	SHIMQMI 02 01 0f a2 00 07 00 02 04 00 00 00 00 00
12.835372	SHIMQMI 00 01 0e af 00 07 00 01 04 00 00 00 00 00
12.835415	SHIMQMI 02 01 0e af 00 07 00 02 04 00 00 00 00 00
12.835633	SHIMQMI 00 01 0e b0 00 00 00
12.835660	SHIMQMI 02 01 0e b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.835840	SHIMQMI 00 01 0f af 00 07 00 01 04 00 00 00 00 00
12.835882	SHIMQMI 02 01 0f af 00 07 00 02 04 00 00 00 00 00
12.836099	SHIMQMI 00 01 0f b0 00 00 00
12.836124	SHIMQMI 02 01 0f b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.836709	SHIMQMI 00 04 0d 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.836743	SHIMQMI 02 04 0d 2b 00 07 00 02 04 00 00 00 00 00
12.836994	SHIMQMI 00 04 0d 2a 00 04 00 01 01 00 04
12.837014	SHIMQMI 02 04 0d 2a 00 07 00 02 04 00 00 00 00 00
12.837201	SHIMQMI 00 04 0d 2f 00 08 00 10 01 00 01 11 01 00 db
12.837231	SHIMQMI 02 04 0d 2f 00 07 00 02 04 00 00 00 00 00
12.837619	SHIMQMI 00 04 0d 2d 00 07 00 01 04 00 ff 00 00 00
12.837651	SHIMQMI 02 04 0d 2d 00 07 00 02 04 00 00 00 00 00
12.837926	SHIMQMI 00 04 0d 01 00 04 00 10 01 00 01
12.837948	SHIMQMI 02 04 0d 01 00 07 00 02 04 00 00 00 00 00
12.838392	SHIMQMI 00 04 0e 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.838423	SHIMQMI 02 04 0e 2b 00 07 00 02 04 00 00 00 00 00
12.838632	SHIMQMI 00 04 0e 2a 00 04 00 01 01 00 06
12.838655	SHIMQMI 02 04 0e 2a 00 07 00 02 04 00 00 00 00 00
12.839772	SHIMQMI 00 04 0e 2f 00 08 00 10 01 00 01 11 01 00 db
12.839800	SHIMQMI 02 04 0e 2f 00 07 00 02 04 00 00 00 00 00
12.840034	SHIMQMI 00 04 0e 2d 00 07 00 01 04 00 ff 00 00 00
