SSREQCTL.
Cur Time : 4211.545000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	FUNCTION	LINE	STRING
11.260030	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 686ab2d func_name aostlm
11.260036	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 84f69c2 func_name island_mgr
11.260088	nvim.c	nvimnv_task_start	4242	start
11.260094	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 84f69c2 func_name island_mgr
11.260099	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash c69ef67 func_name diag_f3_trace_devcfg
11.260108	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash c69ef67 func_name diag_f3_trace_devcfg
11.260113	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash ad99ba7 func_name diag_f3_trace_nvcfg
11.370833	ssreq_svc_poll_client.c	ssreq_svc_poll_task	146	succesed connection
11.635680	nvim.c	nvimnv_task_start	4250	done
11.635826	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash ad99ba7 func_name diag_f3_trace_nvcfg
11.635836	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 39c5265 func_name diag_f3_trace
11.635838	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 39c5265 func_name diag_f3_trace
11.635843	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 77956 func_name prof
11.635844	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 77956 func_name prof
11.635850	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash a3c1375 func_name qmi_fw_service
11.635895	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash a3c1375 func_name qmi_fw_service
11.635900	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 779c7c4 func_name crypto_sleep_init
11.635919	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 779c7c4 func_name crypto_sleep_init
11.635925	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash c6267b4 func_name sleep_init
11.638129	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash c6267b4 func_name sleep_init
11.638135	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash ca95ba3 func_name vcs_efs
11.638154	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash ca95ba3 func_name vcs_efs
11.638160	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 34dc986 func_name clk_regime_init_nv
11.638185	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 34dc986 func_name clk_regime_init_nv
11.638191	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash a95dc3c func_name qdss_ctrl
11.638202	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash a95dc3c func_name qdss_ctrl
11.638207	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash f3e120c func_name qdss_control
11.638217	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash f3e120c func_name qdss_control
11.638223	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 98603c4 func_name err_init
11.638243	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 98603c4 func_name err_init
11.638249	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash c3c8374 func_name err_qdi_init
11.638269	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash c3c8374 func_name err_qdi_init
11.638275	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 63146f4 func_name sys_m_root
11.638334	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 63146f4 func_name sys_m_root
11.638340	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash a903a1c func_name vcs_thermal
11.638377	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash a903a1c func_name vcs_thermal
11.638383	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash f7c0574 func_name xpuinit
11.638391	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash f7c0574 func_name xpuinit
11.638397	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 66f167 func_name aostlm_qdi_diag
11.638399	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 66f167 func_name aostlm_qdi_diag
11.638404	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 60cbd5b func_name modem_sec_rollback
11.638410	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 60cbd5b func_name modem_sec_rollback
11.638415	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash ba95be2 func_name qdss_err
11.638416	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash ba95be2 func_name qdss_err
11.638421	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash ac31de3 func_name modem_sec
11.638491	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash ac31de3 func_name modem_sec
11.638496	rcinit_init_root.c	rcinit_worker	103	function enter group 1 func_hash 94fdc54 func_name secgps_server_start
11.638533	rcinit_init_root.c	rcinit_worker	128	function exit group 1 func_hash 94fdc54 func_name secgps_server_start
11.638610	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash a36ae2b task_name dsm_task
11.638619	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 1 task_hash a36ae2b task_name dsm_task
11.638669	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash a923f64 task_name fs_async_put
11.638719	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 1 task_hash a923f64 task_name fs_async_put
11.638733	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash a1f625 task_name fs_qmi_service
11.638822	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash aec930c task_name thermal
11.638864	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 1 task_hash a1f625 task_name fs_qmi_service
11.638981	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash 79b3 task_name sec
11.639002	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 1 task_hash 79b3 task_name sec
11.639132	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash a7e112d task_name seccryptarm
11.639149	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 1 task_hash a7e112d task_name seccryptarm
11.639284	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash 6af77 task_name diag
11.639292	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 1 task_hash 6af77 task_name diag
11.639371	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash 9ed4b52 task_name npascheduler
11.639513	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 1 task_hash aec930c task_name thermal
11.639528	rcinit_rex.c	TASK_ENTRY	180	task begins group 1 task_hash 79ba944 task_name secrnd
11.639536	rcinit_init_root.c	rcinit_handshake_init	254	handshake group 1 task_hash 79ba944 task_name secrnd
