MCFG.
Cur Time : 4211.111000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	LINE	STRING
11.650559	mcfg_utils.c	2136	mcfg_utils_get_default_config: type 0 size 808
11.650563	mcfg_utils.c	2197	get_default_config_info type(0) status(1)
11.650569	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.650603	mcfg_nv.c	601	mcfg_nv_read status 0
11.650605	mcfg_default.c	428	Update default config digest for type 0 
11.650606	mcfg_default.c	607	Default config digest update not required for type(0)!
11.650607	mcfg_proc.c	359	mcfg default config not required for cfg type 0x0,
11.650611	mcfg_load.c	417	modem_cfg_load_and_auth_mcfg 5 - err 4109
11.650613	mcfg_proc.c	380	mcfg_load_and_auth_seg fail for cfg type 0, status = 4109, subs_id = 0
11.650614	mcfg_utils.c	614	Unexpected NULL pointer!
11.650616	mcfg_proc.c	342	====  Starting modem_cfg_process_single 0 ==== 
11.650617	mcfg_proc.c	343	refresh_type 2 
11.650618	mcfg_default.c	560	==== mcfg_default_config_process for type 1 ==== 
11.650619	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.650643	mcfg_nv.c	601	mcfg_nv_read status 5
11.650644	mcfg_default.c	113	default enabled nv for 1 is not available
11.650645	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.650668	mcfg_nv.c	601	mcfg_nv_read status 5
11.650669	mcfg_default.c	113	default enabled nv for 1 is not available
11.650673	mcfg_utils.c	2136	mcfg_utils_get_default_config: type 1 size 2156
11.650674	mcfg_utils.c	2530	mcfg_format_ver_num is : 0x4 
11.650675	mcfg_utils.c	2535	====  isMbnWithDigest returned true ==== 
11.650676	mcfg_default.c	587	default_config_digest_available  = 1
11.650678	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.650703	mcfg_nv.c	601	mcfg_nv_read status 5
11.650705	mcfg_default.c	113	default enabled nv for 1 is not available
11.650708	mcfg_utils.c	2136	mcfg_utils_get_default_config: type 1 size 2156
11.650710	mcfg_utils.c	2197	get_default_config_info type(1) status(1)
11.650713	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.650746	mcfg_nv.c	601	mcfg_nv_read status 0
11.650747	mcfg_default.c	428	Update default config digest for type 1 
11.650748	mcfg_default.c	607	Default config digest update not required for type(1)!
11.650749	mcfg_proc.c	359	mcfg default config not required for cfg type 0x1,
11.650752	mcfg_load.c	395	modem_cfg_load_and_auth_mcfg - 1 
11.650826	mcfg_load.c	399	modem_cfg_load_and_auth_mcfg - 2, size=14660
11.650829	mcfg_utils.c	575	mcfg_malloc, mcfg_heap_blocks 1
11.650831	mcfg_load.c	402	modem_cfg_load_and_auth_mcfg - 3, config_addr=0x76912620
11.650947	mcfg_efs.c	526	mcfg_efs_get_config: compresses config len 3866
11.650949	mcfg_utils.c	2970	mcfg_utils_check_config_header(): first 2 bytes of config, 0x78, 0x9c
11.650950	mcfg_utils.c	3038	check_and_update_config: received config is a zlib compressed file
11.650953	mcfg_utils.c	3039	mcfg_malloc, mcfg_heap_blocks 2
