Start : 2843207, 86.767812sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 1261095912
Time Awake : 95458592
Sleep : 92.963158% Awake : 7.036842%
Log available 16 ~ 86sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
00000419453340	00021.846528	S	0.001153
00000419475468	00021.847681	W	0.000011
00000419475672	00021.847691	S	0.000311
00000419481636	00021.848002	W	0.000112
00000419483788	00021.848114	S	0.000360
00000419490696	00021.848474	W	0.000011
00000419490904	00021.848485	S	0.000315
00000419496948	00021.848799	W	0.000081
00000419498504	00021.848880	S	0.000193
00000419502204	00021.849073	W	0.000011
00000419502420	00021.849084	S	0.000171
00000419505704	00021.849255	W	0.000111
00000419507844	00021.849367	S	0.000336
00000419514288	00021.849702	W	0.000011
00000419514500	00021.849714	S	0.000771
00000419529308	00021.850485	W	0.000107
00000419531356	00021.850591	S	0.000282
00000419536772	00021.850874	W	0.000012
00000419537000	00021.850885	S	0.000407
00000419544816	00021.851292	W	0.000091
00000419546564	00021.851384	S	0.000192
00000419550260	00021.851576	W	0.000025
00000419550748	00021.851601	S	0.001132
00000419572484	00021.852734	W	0.000078
00000419573988	00021.852812	S	0.000304
00000419579824	00021.853116	W	0.000145
00000419582608	00021.853261	S	0.000915
00000419600168	00021.854175	W	0.000011
00000419600380	00021.854186	S	0.000950
00000419618620	00021.855136	W	0.000107
00000419620668	00021.855243	S	0.000508
00000419630424	00021.855751	W	0.000011
00000419630640	00021.855763	S	0.000569
00000419641556	00021.856331	W	0.000084
00000419643176	00021.856415	S	0.000287
00000419648692	00021.856703	W	0.000011
00000419648904	00021.856714	S	0.002141
00000419690004	00021.858854	W	0.000048
00000419690920	00021.858902	S	0.000432
00000419699208	00021.859334	W	0.000010
00000419699408	00021.859344	S	0.000576
00000419710468	00021.859920	W	0.000046
00000419711360	00021.859967	S	0.000571
00000419722324	00021.860538	W	0.000012
00000419722552	00021.860550	S	0.000432
00000419730840	00021.860981	W	0.000051
00000419731824	00021.861033	S	0.000293
00000419737456	00021.861326	W	0.000025
00000419737932	00021.861351	S	0.001813
00000419772744	00021.863164	W	0.000055
00000419773792	00021.863218	S	0.000199
00000419777616	00021.863418	W	0.000011
00000419777824	00021.863428	S	0.000172
00000419781124	00021.863600	W	0.000104
00000419783128	00021.863705	S	0.000201
00000419786988	00021.863906	W	0.000022
00000419787416	00021.863928	S	0.000252
00000419792260	00021.864180	W	0.000079
00000419793768	00021.864259	S	0.000196
00000419797524	00021.864454	W	0.000011
00000419797732	00021.864465	S	0.000293
00000419803352	00021.864758	W	0.000104
00000419805356	00021.864862	S	0.000203
00000419809252	00021.865065	W	0.000011
00000419809472	00021.865077	S	0.000326
00000419815724	00021.865402	W	0.000102
00000419817680	00021.865504	S	0.000326
00000419823940	00021.865830	W	0.000086
00000419825600	00021.865917	S	0.000217
00000419829772	00021.866134	W	0.000011
00000419829976	00021.866145	S	0.001533
00000419859408	00021.867677	W	0.000087
00000419861072	00021.867764	S	0.000201
00000419864932	00021.867965	W	0.000026
00000419865428	00021.867991	S	0.000630
00000419877516	00021.868621	W	0.000136
00000419880136	00021.868757	S	0.000215
00000419884264	00021.868972	W	0.000012
00000419884492	00021.868984	S	0.000171
00000419887776	00021.869155	W	0.000104
00000419889772	00021.869259	S	0.000202
00000419893648	00021.869461	W	0.000011
00000419893864	00021.869472	S	0.000502
00000419903508	00021.869974	W	0.000084
00000419905112	00021.870058	S	0.000499
00000419914688	00021.870557	W	0.000012
00000419914920	00021.870569	S	0.001319
00000419940240	00021.871887	W	0.000047
00000419941140	00021.871934	S	0.000311
00000419947104	00021.872245	W	0.000012
00000419947332	00021.872257	S	0.000723
00000419961216	00021.872980	W	0.000045
00000419962084	00021.873025	S	0.000287
00000419967596	00021.873312	W	0.000011
00000419967808	00021.873323	S	0.001375
00000419994208	00021.874698	W	0.000045
00000419995080	00021.874744	S	0.000460
00000420003912	00021.875204	W	0.000011
00000420004120	00021.875215	S	0.087380
00000421681812	00021.962594	W	0.000131
00000421684336	00021.962726	S	0.000426
00000421692508	00021.963151	W	0.000011
00000421692720	00021.963162	S	0.001250
00000421716728	00021.964413	W	0.005396
00000421820324	00021.969809	S	0.000034
00000421820984	00021.969843	W	0.000037
00000421821688	00021.969880	S	0.025025
00000422302164	00021.994904	W	0.000077
00000422303648	00021.994982	S	0.000314
00000422309684	00021.995296	W	0.000010
00000422309884	00021.995306	S	0.010070
00000422503224	00022.005376	W	0.000106
00000422505268	00022.005483	S	0.000764
00000422519928	00022.006246	W	0.000013
00000422520180	00022.006259	S	0.001837
00000422555452	00022.008096	W	0.000121
00000422557772	00022.008217	S	0.000440
00000422566224	00022.008658	W	0.000014
00000422566492	00022.008671	S	0.000333
00000422572888	00022.009005	W	0.000021
00000422573296	00022.009026	S	0.007705
00000422721228	00022.016731	W	0.000112
00000422723372	00022.016842	S	0.000323
00000422729576	00022.017165	W	0.000013
00000422729824	00022.017178	S	0.110986
00000424860760	00022.128165	W	0.000075
00000424862196	00022.128239	S	0.003911
00000424937280	00022.132150	W	0.005525
00000425043368	00022.137675	S	0.068169
00000426352216	00022.205845	W	0.001213
00000426375508	00022.207058	S	0.002812
00000426429496	00022.209870	W	0.000455
00000426438236	00022.210325	S	0.060420
00000427598300	00022.270745	W	0.006619
00000427725392	00022.277364	S	0.183908
00000431256432	00022.461272	W	0.007091
00000431392588	00022.468364	S	0.049789
00000432348544	00022.518153	W	0.000225
00000432352864	00022.518378	S	0.000324
00000432359080	00022.518702	W	0.000046
00000432359956	00022.518748	S	0.002639
00000432410620	00022.521386	W	0.000201
00000432414480	00022.521587	S	0.000233
00000432418960	00022.521821	W	0.000023
00000432419392	00022.521843	S	0.054180
00000433459652	00022.576024	W	0.000190
00000433463292	00022.576213	S	0.001719
00000433496292	00022.577932	W	0.003383
00000433561236	00022.581314	S	0.049021
00000434502448	00022.630336	W	0.000191
00000434506120	00022.630527	S	0.003805
00000434579172	00022.634332	W	0.198759
00000438395344	00022.833091	S	0.025912
00000438892856	00022.859003	W	0.000791
00000438908048	00022.859794	S	0.000063
00000438909260	00022.859857	W	0.000040
00000438910024	00022.859897	S	0.000047
00000438910920	00022.859944	W	0.000039
00000438911668	00022.859983	S	0.000053
00000438912680	00022.860035	W	0.000020
00000438913068	00022.860056	S	0.000073
00000438914460	00022.860128	W	0.000094
00000438916256	00022.860222	S	0.272056
00000444139732	00023.132278	W	0.002271
00000444183328	00023.134548	S	0.003065
00000444242172	00023.137613	W	0.000691
00000444255448	00023.138305	S	0.066536
00000445532936	00023.204840	W	0.000624
00000445544920	00023.205465	S	0.004692
00000445635016	00023.210157	W	0.000391
00000445642528	00023.210548	S	0.567139
00000456531604	00023.777688	W	0.005437
00000456635988	00023.783124	S	0.060620
00000457799896	00023.843745	W	0.000140
00000457802584	00023.843885	S	0.005451
00000457907244	00023.849336	W	0.129876
00000460400864	00023.979212	S	1.142420
00000482335336	00025.121632	W	0.005933
00000482449240	00025.127565	S	0.001773
00000482483288	00025.129338	W	0.039883
00000483249048	00025.169221	S	0.138165
00000485901820	00025.307386	W	0.001027
00000485921536	00025.308413	S	0.000094
00000485923332	00025.308507	W	0.000114
00000485925520	00025.308621	S	0.000073
00000485926916	00025.308694	W	0.000020
00000485927308	00025.308714	S	0.000071
00000485928664	00025.308785	W	0.000093
00000485930452	00025.308878	S	0.163748
00000489074420	00025.472626	W	0.000739
00000489088600	00025.473365	S	0.000082
00000489090176	00025.473447	W	0.000039
00000489090932	00025.473486	S	0.000047
00000489091836	00025.473533	W	0.000038
